Tên ảnh,Dự đoán,Độ tự tin
disgust4.jpg,Disgust,90.59
sad2.webp,Sad,71.56
fear4.jpg,Fear,80.78
angry2.jpg,Angry,61.82
angry3.jpg,Angry,46.8
disgust5.jpg,Disgust,51.46
surprise4.jpg,Surprise,91.75
angry1.jpg,Angry,90.16
surprise5.jpg,Surprise,84.11
happy4.webp,Happy,77.33
happy1.jpeg,Happy,30.37
disgust2.jpg,Disgust,64.69
surprise1.png,Surprise,74.17
happy5.webp,Happy,58.12
fear2.jpg,Fear,77.39
angry4.jpg,Angry,67.29
angry5.jpg,Angry,99.59
fear3.png,Fear,67.09
disgust3.jpg,Disgust,94.15
disgust1.jpg,Disgust,51.68
surprise2.jpg,Surprise,86.72
fear1.jpg,Fear,57.07
surprise3.jpg,Surprise,87.78
neutral3.webp,Neutral,38.02
neutral5.webp,Neutral,39.25
fear5.webp,Fear,93.85
neutral4.jpg,Neutral,86.22
sad1.jpg,Sad,86.82
sad3.jpg,Sad,84.31
happy2.jpg,Happy,87.15
neutral2.jpeg,Neutral,48.39
happy3.jpg,Happy,77.69
sad5.jpg,Sad,49.56
sad4.jpeg,Sad,93.27
neutral1.webp,Neutral,68.65
